Side_-12dB
2572,1608,1436,1040,1156,1188,1172,752,708,828,1072,1360,1484,1720,4964,2832,1592,3108,1164,888,792,628,688,612,668,544,492,488,536,484,604,1356,1692,672,720,732,704,716,728,716,700,756,5760,3768,1152,1284,1284,1792,1040,924,1180,1140,2712,1056,796,1948,640,604
Side_-18dB
2624,2016,1344,1208,1192,1152,1088,680,560,800,1088,1288,1448,1712,4784,2736,1400,3200,1048,856,832,600,536,632,544,536,456,544,536,408,568,1448,1544,712,704,688,680,680,752,736,744,752,8648,3944,1192,1328,1320,1520,1128,952,1392,1376,2816,1136,776,2056,632,568
Side_-6dB
1840,1408,1202,1072,1068,1100,1162,772,772,868,1212,1258,1590,1626,4320,2644,1488,3076,1192,960,796,484,638,606,536,480,504,464,556,508,528,1260,1496,704,766,672,672,710,728,748,686,724,2732,2756,1118,1314,1258,1368,916,890,1252,1280,2834,1000,818,1888,576,534
Side_0dB
nan
