MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:18:57
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141857.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 26.1
Memory(MB) =, 4270
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22351 min:21978 range:373 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.5(CX15-16) 0.4(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X10,22121,22158,22180,22170,22096,22127,22169,22164,22146,22158,22196,22169,22300,22277,22203,22223,22225,22166,22041,22178,22095,22159,22192,22139,22090,22156,22061,22208,22172,22189,22171,22163,22097,22094,22246,22188,22168,22161,22174,22117,22136,22069,22255,22211,22180,22110,22226,22198,22185,22228,22099,
X11,22102,22149,22176,22171,22132,22136,22165,22152,22129,22149,22185,22163,22288,22284,22201,22235,22211,22154,22039,22195,22092,22148,22187,22169,22083,22154,22066,22218,22168,22191,22173,22184,22108,22093,22241,22183,22169,22178,22189,22124,22145,22089,22262,22229,22191,22121,22230,22184,22174,22228,22117,
X12,22091,22147,22163,22161,22130,22145,22170,22141,22125,22148,22188,22172,22298,22285,22189,22209,22216,22146,22046,22180,22072,22133,22187,22161,22086,22157,22060,22205,22153,22187,22166,22175,22104,22089,22239,22192,22174,22184,22206,22138,22165,22088,22271,22226,22214,22130,22234,22207,22197,22245,22136,
X13,22112,22145,22186,22160,22127,22130,22180,22154,22134,22170,22202,22169,22290,22291,22200,22230,22229,22157,22043,22190,22085,22141,22207,22159,22098,22168,22068,22211,22181,22209,22171,22188,22121,22117,22253,22192,22172,22202,22231,22154,22175,22106,22275,22231,22212,22147,22249,22219,22193,22247,22133,
X14,22105,22126,22172,22162,22122,22142,22172,22155,22146,22154,22178,22156,22283,22271,22186,22216,22214,22147,22050,22179,22077,22138,22187,22136,22090,22162,22068,22216,22174,22201,22169,22179,22120,22114,22249,22191,22183,22183,22219,22148,22172,22089,22266,22238,22194,22135,22243,22207,22182,22245,22120,
X15,22115,22150,22189,22189,22137,22153,22187,22170,22153,22172,22191,22154,22273,22260,22174,22207,22221,22165,22051,22191,22097,22167,22184,22153,22103,22167,22068,22209,22164,22195,22168,22179,22119,22109,22263,22201,22184,22202,22221,22153,22165,22084,22273,22244,22217,22142,22255,22225,22200,22260,22126,
X16,22141,22179,22224,22229,22189,22204,22210,22196,22159,22186,22224,22191,22309,22280,22209,22246,22246,22192,22087,22217,22139,22203,22231,22193,22131,22206,22092,22229,22216,22219,22199,22196,22144,22122,22275,22225,22226,22229,22247,22188,22212,22122,22302,22275,22231,22161,22284,22243,22231,22278,22160,
X17,22145,22177,22241,22237,22213,22207,22240,22207,22187,22188,22224,22201,22313,22287,22210,22241,22256,22204,22088,22217,22139,22204,22260,22198,22121,22207,22087,22234,22210,22224,22197,22207,22149,22126,22272,22217,22220,22229,22246,22190,22206,22116,22313,22271,22229,22174,22280,22242,22231,22285,22154,
X18,22150,22194,22242,22258,22222,22231,22261,22229,22212,22207,22229,22226,22330,22312,22222,22259,22279,22217,22108,22246,22168,22227,22257,22224,22135,22215,22103,22251,22221,22244,22235,22231,22169,22144,22294,22235,22226,22214,22259,22199,22208,22137,22319,22280,22250,22172,22275,22243,22242,22305,22178,
X19,22136,22188,22256,22257,22218,22223,22242,22233,22207,22202,22221,22215,22327,22303,22213,22257,22265,22223,22100,22243,22159,22219,22246,22207,22129,22212,22095,22239,22210,22242,22214,22227,22156,22133,22290,22223,22213,22228,22232,22174,22207,22122,22312,22262,22229,22165,22255,22237,22224,22287,22164,
