MaxTouch Analyzer Version :,Sensor Inspector Ver.2.18
Log Create Time :,2019/05/07 14:16:44
Output File Name :, Log\PASS\_504E3835332E3120FF0A0C0CFFFF0D0D_HC-107082-NB_0507_141644.csv
Windows OS Version :, Windows 7,
Device in System =, \\?\hid#vid_03eb&pid_6123#6&2ffc47e&0&0000#{4d1e55b2-f16f-11cf-88cb-001111000030}(QRG-I/F)
Port in System =, PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)
Bridge board =, USB5030
Device Address =, 0x4B
Power switching =, False
Spend time =, 25.7
Memory(MB) =, 4280
Test Profile =, Default
Operator ID #, 
WorkStation ID #, HC-107082-NB
Barcode FPC #, 
Barcode CG #, 
Barcode LCM #, 
Maxtouch =, maXTouch mXT2954T2
Control File =, C:\mxt336U.txt (MD5: )Control File doesn't exist)
Family ID =, 0xA4
Variant ID =, 0x0D
Revision ID =, 0x03
Bootloader ID =, 0x5304
FW Version =, 0x23AB
Config Version =, 0x0103
Internal Config Version =, 0x0000
XCFG CheckSum=, 0x9F1F72, 
Chip CheckSum =, 0x9F1F72
Chip Device Unique ID =, 504E3835332E3120FF0A0C0CFFFF0D0D
Matrix X Size =, 41
Matrix Y Size =, 72
Screen X Size =, 38
Screen Y Size =, 51
T8 Charge Time =, 23
T9 / T100 Sensor Gain =, 13

/////////////////////////
// Overall Test Result //
/////////////////////////
PASS
OVERALL: PASS

//////////////////////
// Test Matrix list //
//////////////////////
Overall,PASS
Test Options,0) Inspector Options,PASS,Pass
Chip Upgrade,2) Chip ID check,PASS,Pass. FID:A4 VID:0D RID:03
Chip Upgrade,3) Load Firmware,PASS,Pass. Version matches. Skip.
Chip Upgrade,4) Confirm Firmware,PASS,Pass. Version match 0x23AB
Chip Upgrade,6) Load Configure,PASS,Pass. Chksum 0x9F1F72 match. Skip
Chip Upgrade,7) Confirm CheckSum,PASS,Pass. Chksum 0x9F1F72 match.
HW Test,14) Reset Pin Open Test,PASS,Pass
HW Test,15) INT/CHG Pin Test,PASS,Pass
HW Test,16) Processor Test,PASS,Pass
HW Test,17) AVDD Test,PASS,Pass
HW Test,18) Pin Fault Test,PASS,Pass
HW Test,24) I2C Test,PASS,Pass. I2C mode: OBP. Addr: 0x4B matches
Sensor Test,26) Ref check - 1 region,PASS,Pass. sensor max:22353 min:21985 range:368 meets spec
Sensor Test,29) Sensor Variant,PASS,Pass
Sensor Test,36) MicroDefect,PASS,Pass. Max Diff 0.5(CX15-16) 0.3(BX36-37) 4.2(CY33-34) 4.1(BY0-1)

// Reference value
Reference Value at Charger Time=,23
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,
X0,22117,22109,22147,22152,22118,22123,22152,22126,22111,22116,22118,22111,22208,22205,22113,22141,22135,22089,21995,22120,22028,22084,22132,22101,22037,22126,22007,22153,22099,22142,22118,22117,22043,22029,22184,22146,22114,22134,22142,22081,22101,22041,22194,22172,22147,22075,22175,22136,22115,22177,22024,
X1,22109,22109,22139,22140,22108,22105,22152,22136,22103,22110,22120,22124,22214,22211,22108,22138,22156,22100,21996,22113,22036,22088,22156,22088,22034,22125,22018,22142,22116,22162,22134,22114,22046,22020,22194,22131,22111,22132,22149,22083,22081,22058,22199,22173,22147,22071,22165,22123,22118,22189,22060,
X2,22106,22125,22157,22171,22108,22126,22175,22143,22110,22103,22132,22127,22218,22220,22135,22153,22187,22105,21986,22132,22047,22114,22168,22105,22044,22141,22038,22173,22135,22184,22135,22130,22069,22084,22210,22157,22128,22132,22169,22107,22098,22057,22210,22177,22161,22084,22209,22147,22130,22191,22069,
X3,22101,22117,22156,22165,22137,22134,22170,22138,22119,22128,22150,22131,22223,22228,22148,22173,22201,22135,22006,22148,22046,22128,22177,22100,22041,22142,22034,22187,22149,22187,22153,22144,22075,22073,22220,22168,22148,22143,22174,22105,22121,22046,22202,22180,22148,22056,22189,22144,22116,22160,22056,
X4,22111,22123,22161,22177,22137,22140,22186,22157,22122,22121,22149,22133,22228,22234,22161,22193,22199,22131,22016,22158,22083,22150,22177,22110,22067,22151,22040,22198,22141,22186,22165,22146,22076,22099,22231,22169,22140,22154,22181,22103,22139,22071,22217,22191,22154,22074,22198,22137,22139,22183,22070,
X5,22093,22115,22152,22165,22127,22142,22164,22156,22117,22125,22133,22119,22223,22227,22161,22179,22190,22144,22018,22158,22060,22143,22180,22122,22064,22134,22042,22181,22139,22178,22161,22153,22076,22079,22230,22168,22136,22138,22151,22080,22102,22036,22214,22176,22137,22064,22184,22145,22134,22187,22065,
X6,22093,22088,22139,22154,22115,22132,22152,22144,22111,22124,22141,22118,22212,22213,22139,22177,22180,22120,21999,22150,22036,22118,22163,22110,22051,22133,22037,22178,22132,22151,22145,22127,22075,22044,22208,22139,22116,22124,22144,22085,22091,22028,22192,22170,22122,22068,22180,22144,22131,22175,22072,
X7,22096,22108,22151,22154,22121,22127,22150,22137,22114,22121,22144,22119,22221,22203,22133,22176,22187,22124,22001,22140,22045,22118,22151,22094,22028,22115,22016,22184,22122,22161,22141,22152,22078,22066,22210,22130,22106,22131,22131,22070,22083,22021,22196,22188,22154,22076,22196,22162,22125,22187,22082,
X8,22090,22108,22150,22151,22106,22130,22170,22153,22116,22121,22149,22122,22243,22257,22162,22191,22187,22117,21985,22136,22062,22133,22166,22116,22050,22132,22032,22194,22140,22176,22135,22137,22075,22063,22202,22155,22125,22133,22155,22076,22080,22027,22196,22169,22148,22068,22194,22171,22144,22186,22095,
X9,22107,22113,22172,22173,22113,22127,22166,22159,22155,22147,22172,22135,22271,22255,22175,22200,22207,22135,22005,22168,22074,22144,22181,22131,22062,22143,22039,22196,22136,22189,22155,22156,22090,22087,22227,22177,22153,22130,22157,22092,22109,22042,22218,22189,22165,22111,22213,22198,22151,22208,22093,
X10,22125,22162,22183,22173,22101,22129,22173,22167,22151,22161,22198,22174,22303,22284,22208,22228,22230,22169,22043,22183,22095,22162,22195,22144,22093,22160,22064,22211,22172,22193,22176,22167,22100,22095,22248,22192,22172,22164,22177,22120,22138,22070,22259,22213,22184,22112,22225,22201,22185,22230,22098,
X11,22105,22153,22179,22177,22137,22136,22167,22155,22133,22154,22187,22168,22291,22286,22207,22238,22216,22157,22038,22200,22091,22149,22188,22169,22085,22156,22067,22217,22169,22191,22174,22185,22108,22095,22243,22182,22171,22180,22192,22126,22147,22088,22262,22230,22194,22120,22230,22185,22175,22229,22118,
X12,22099,22154,22170,22169,22139,22150,22178,22148,22134,22155,22192,22181,22304,22294,22197,22216,22223,22153,22049,22186,22077,22136,22191,22165,22092,22162,22064,22208,22157,22192,22173,22181,22109,22095,22242,22197,22179,22188,22211,22141,22172,22092,22278,22231,22219,22137,22238,22213,22200,22250,22140,
X13,22115,22148,22190,22166,22133,22133,22183,22156,22138,22174,22201,22174,22292,22296,22205,22234,22235,22162,22045,22193,22083,22144,22208,22161,22098,22173,22069,22212,22181,22209,22176,22189,22121,22117,22256,22193,22175,22203,22234,22155,22180,22107,22276,22232,22213,22149,22250,22219,22193,22247,22134,
X14,22107,22130,22175,22164,22126,22144,22175,22155,22149,22156,22181,22160,22284,22276,22189,22220,22217,22148,22048,22182,22072,22139,22186,22136,22089,22165,22066,22217,22174,22199,22171,22177,22120,22113,22249,22193,22182,22182,22219,22148,22173,22091,22268,22237,22195,22134,22243,22210,22181,22243,22120,
X15,22123,22158,22199,22199,22147,22163,22196,22177,22162,22183,22201,22166,22283,22270,22185,22216,22232,22173,22059,22198,22104,22173,22191,22161,22109,22178,22075,22217,22171,22202,22176,22187,22125,22117,22269,22211,22192,22209,22228,22157,22173,22093,22283,22252,22228,22150,22262,22234,22209,22266,22133,
X16,22146,22182,22229,22234,22193,22208,22214,22198,22165,22191,22226,22197,22314,22284,22215,22253,22251,22196,22090,22223,22140,22204,22232,22194,22134,22209,22092,22233,22214,22221,22202,22199,22144,22122,22278,22227,22231,22230,22251,22191,22214,22127,22307,22277,22235,22164,22283,22248,22231,22280,22162,
X17,22145,22177,22243,22237,22212,22203,22238,22207,22187,22188,22224,22203,22313,22287,22213,22241,22258,22206,22085,22217,22136,22201,22257,22199,22119,22207,22088,22232,22207,22222,22196,22205,22147,22123,22268,22215,22220,22226,22245,22189,22205,22114,22311,22272,22229,22173,22278,22242,22227,22282,22152,
X18,22160,22202,22252,22268,22233,22239,22269,22235,22219,22215,22236,22237,22337,22320,22229,22266,22287,22226,22115,22254,22173,22231,22262,22231,22141,22222,22109,22256,22227,22251,22245,22238,22173,22150,22301,22243,22233,22220,22264,22206,22215,22144,22326,22287,22257,22178,22279,22250,22246,22311,22182,
X19,22143,22198,22262,22263,22227,22227,22248,22235,22215,22209,22227,22223,22333,22309,22218,22261,22272,22228,22104,22248,22162,22221,22250,22210,22133,22217,22098,22241,22213,22247,22220,22233,22159,22138,22293,22226,22219,22231,22237,22178,22212,22126,22318,22264,22234,22167,22259,22240,22226,22289,22169,
X20,22148,22187,22236,22257,22226,22215,22236,22231,22200,22187,22212,22211,22313,22284,22215,22255,22271,22210,22092,22246,22158,22199,22230,22198,22108,22210,22089,22230,22204,22235,22226,22231,22143,22116,22269,22214,22204,22221,22237,22175,22186,22115,22309,22259,22229,22156,22267,22225,22212,22277,22155,
X21,22162,22209,22235,22264,22230,22226,22238,22233,22207,22198,22237,22222,22327,22315,22219,22264,22285,22222,22103,22246,22147,22206,22256,22216,22124,22217,22101,22244,22215,22253,22224,22219,22155,22126,22255,22230,22210,22227,22260,22186,22203,22109,22304,22288,22252,22159,22277,22251,22225,22293,22179,
X22,22144,22181,22235,22256,22208,22184,22215,22207,22190,22186,22219,22201,22313,22294,22204,22248,22271,22182,22084,22239,22127,22194,22224,22176,22112,22191,22075,22216,22193,22234,22196,22210,22132,22107,22241,22220,22183,22211,22210,22165,22194,22116,22289,22258,22228,22152,22279,22237,22206,22261,22147,
X23,22140,22173,22239,22250,22208,22203,22211,22211,22199,22179,22210,22203,22305,22292,22199,22249,22262,22182,22073,22227,22121,22172,22240,22171,22113,22191,22084,22236,22208,22238,22196,22204,22132,22103,22249,22207,22177,22196,22226,22173,22199,22103,22262,22230,22225,22140,22257,22221,22189,22256,22139,
X24,22139,22163,22215,22242,22189,22185,22211,22185,22186,22179,22204,22182,22300,22284,22205,22239,22259,22179,22079,22223,22106,22149,22224,22169,22095,22186,22073,22207,22194,22228,22204,22199,22125,22107,22231,22195,22175,22196,22219,22158,22189,22095,22262,22220,22211,22147,22249,22211,22184,22241,22155,
