, 
Cm,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X11,22408.0,22410.0,22496.0,22479.0,22483.0,22422.0,22431.0,22465.0,22349.0,22468.0,22482.0,22444.0,22463.0,22541.0,22545.0,22607.0,22616.0,22541.0,22430.0,22488.0,22516.0,22554.0,22562.0,22552.0,22604.0,22497.0,22553.0,22479.0,22572.0,22559.0,22547.0,22465.0,22582.0,22463.0,22632.0,22504.0,22593.0,22505.0,22479.0,22461.0,22516.0,22558.0,22517.0,22481.0,22526.0,22559.0,22530.0,22478.0,22515.0,22451.0,22403.0
X12,22412.0,22423.0,22499.0,22471.0,22474.0,22416.0,22436.0,22485.0,22364.0,22465.0,22486.0,22443.0,22474.0,22546.0,22553.0,22606.0,22610.0,22535.0,22424.0,22470.0,22517.0,22539.0,22560.0,22552.0,22595.0,22494.0,22549.0,22465.0,22563.0,22556.0,22554.0,22457.0,22579.0,22467.0,22640.0,22499.0,22600.0,22515.0,22488.0,22465.0,22508.0,22560.0,22518.0,22477.0,22526.0,22567.0,22523.0,22475.0,22514.0,22457.0,22412.0
X13,22394.0,22409.0,22482.0,22462.0,22463.0,22403.0,22429.0,22475.0,22364.0,22474.0,22477.0,22439.0,22465.0,22529.0,22542.0,22595.0,22602.0,22531.0,22414.0,22477.0,22527.0,22542.0,22546.0,22531.0,22592.0,22492.0,22544.0,22456.0,22573.0,22562.0,22559.0,22468.0,22577.0,22463.0,22621.0,22505.0,22592.0,22506.0,22489.0,22455.0,22510.0,22542.0,22516.0,22451.0,22515.0,22565.0,22528.0,22474.0,22512.0,22450.0,22409.0
X14,22419.0,22404.0,22493.0,22467.0,22469.0,22401.0,22433.0,22474.0,22361.0,22470.0,22488.0,22439.0,22471.0,22534.0,22548.0,22595.0,22602.0,22531.0,22427.0,22474.0,22519.0,22557.0,22569.0,22548.0,22589.0,22500.0,22553.0,22468.0,22583.0,22563.0,22567.0,22480.0,22595.0,22473.0,22625.0,22509.0,22612.0,22522.0,22494.0,22472.0,22526.0,22564.0,22530.0,22470.0,22528.0,22577.0,22536.0,22485.0,22535.0,22480.0,22421.0
X15,22441.0,22431.0,22500.0,22475.0,22479.0,22430.0,22448.0,22478.0,22363.0,22473.0,22499.0,22465.0,22482.0,22536.0,22562.0,22611.0,22593.0,22548.0,22449.0,22494.0,22533.0,22564.0,22585.0,22565.0,22617.0,22526.0,22579.0,22509.0,22598.0,22587.0,22589.0,22483.0,22608.0,22487.0,22646.0,22524.0,22620.0,22541.0,22518.0,22492.0,22550.0,22588.0,22547.0,22495.0,22554.0,22600.0,22568.0,22514.0,22565.0,22510.0,22442.0
X16,22415.0,22417.0,22495.0,22448.0,22466.0,22426.0,22439.0,22463.0,22375.0,22473.0,22468.0,22452.0,22473.0,22542.0,22551.0,22595.0,22601.0,22521.0,22436.0,22482.0,22510.0,22555.0,22580.0,22554.0,22604.0,22516.0,22576.0,22489.0,22593.0,22581.0,22576.0,22490.0,22604.0,22483.0,22636.0,22513.0,22612.0,22534.0,22507.0,22480.0,22536.0,22576.0,22542.0,22492.0,22545.0,22580.0,22560.0,22502.0,22557.0,22503.0,22452.0
X17,22424.0,22418.0,22493.0,22467.0,22483.0,22430.0,22446.0,22467.0,22371.0,22482.0,22486.0,22459.0,22486.0,22550.0,22561.0,22623.0,22617.0,22542.0,22455.0,22481.0,22524.0,22569.0,22578.0,22561.0,22616.0,22515.0,22577.0,22502.0,22600.0,22579.0,22582.0,22489.0,22611.0,22501.0,22650.0,22527.0,22617.0,22546.0,22527.0,22498.0,22556.0,22593.0,22565.0,22501.0,22552.0,22600.0,22579.0,22513.0,22561.0,22506.0,22452.0
X18,22411.0,22412.0,22489.0,22462.0,22476.0,22421.0,22435.0,22463.0,22369.0,22477.0,22494.0,22463.0,22490.0,22557.0,22566.0,22598.0,22621.0,22544.0,22450.0,22481.0,22538.0,22561.0,22576.0,22567.0,22624.0,22525.0,22583.0,22493.0,22601.0,22584.0,22575.0,22480.0,22621.0,22494.0,22659.0,22535.0,22629.0,22546.0,22539.0,22495.0,22548.0,22601.0,22568.0,22521.0,22570.0,22609.0,22575.0,22532.0,22565.0,22504.0,22446.0
X19,22418.0,22428.0,22511.0,22485.0,22487.0,22422.0,22457.0,22489.0,22375.0,22481.0,22510.0,22471.0,22489.0,22567.0,22578.0,22610.0,22631.0,22560.0,22474.0,22513.0,22545.0,22575.0,22581.0,22579.0,22618.0,22536.0,22588.0,22515.0,22614.0,22593.0,22599.0,22499.0,22615.0,22506.0,22674.0,22549.0,22637.0,22564.0,22552.0,22511.0,22574.0,22605.0,22587.0,22539.0,22592.0,22639.0,22592.0,22533.0,22576.0,22518.0,22462.0
X20,22431.0,22447.0,22526.0,22495.0,22487.0,22452.0,22469.0,22509.0,22397.0,22497.0,22509.0,22462.0,22501.0,22592.0,22572.0,22638.0,22639.0,22568.0,22472.0,22519.0,22557.0,22596.0,22608.0,22592.0,22647.0,22558.0,22600.0,22527.0,22629.0,22615.0,22610.0,22515.0,22634.0,22511.0,22678.0,22556.0,22653.0,22569.0,22557.0,22528.0,22571.0,22610.0,22584.0,22543.0,22592.0,22643.0,22606.0,22556.0,22594.0,22536.0,22493.0
