, 
Cm,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X3,21315.0,21497.0,21625.0,21631.0,21657.0,21579.0,21679.0,21680.0,21590.0,21713.0,21784.0,21651.0,21745.0,21864.0,21790.0,21890.0,21921.0,21821.0,21704.0,21739.0,21827.0,21841.0,21924.0,21939.0,21929.0,21913.0,21933.0,21906.0,21979.0,21986.0,21986.0,21880.0,22073.0,21908.0,22087.0,22016.0,22132.0,22044.0,22002.0,21979.0,22069.0,22115.0,22077.0,22031.0,22065.0,22127.0,22108.0,22103.0,22147.0,22087.0,22008.0
X4,21311.0,21502.0,21627.0,21638.0,21643.0,21580.0,21692.0,21680.0,21583.0,21711.0,21786.0,21649.0,21741.0,21856.0,21787.0,21897.0,21914.0,21822.0,21696.0,21742.0,21834.0,21843.0,21934.0,21928.0,21926.0,21910.0,21939.0,21905.0,21984.0,21988.0,21988.0,21884.0,22057.0,21896.0,22087.0,22004.0,22129.0,22038.0,21999.0,21979.0,22069.0,22122.0,22098.0,22029.0,22076.0,22122.0,22101.0,22097.0,22145.0,22077.0,22009.0
X5,21317.0,21502.0,21633.0,21652.0,21673.0,21595.0,21702.0,21687.0,21593.0,21712.0,21798.0,21656.0,21750.0,21859.0,21790.0,21904.0,21943.0,21825.0,21696.0,21757.0,21844.0,21857.0,21940.0,21935.0,21936.0,21912.0,21951.0,21912.0,22000.0,22016.0,21999.0,21905.0,22073.0,21917.0,22106.0,22012.0,22139.0,22048.0,22007.0,21982.0,22087.0,22129.0,22106.0,22041.0,22073.0,22139.0,22112.0,22112.0,22151.0,22086.0,22003.0
X6,21317.0,21501.0,21633.0,21649.0,21662.0,21603.0,21707.0,21696.0,21593.0,21728.0,21810.0,21663.0,21777.0,21874.0,21792.0,21920.0,21960.0,21837.0,21703.0,21758.0,21844.0,21857.0,21947.0,21929.0,21929.0,21918.0,21949.0,21910.0,21999.0,22001.0,22002.0,21892.0,22079.0,21915.0,22092.0,22011.0,22142.0,22049.0,22019.0,21986.0,22078.0,22117.0,22100.0,22050.0,22079.0,22124.0,22097.0,22099.0,22146.0,22090.0,22002.0
X7,21322.0,21510.0,21639.0,21661.0,21678.0,21609.0,21715.0,21699.0,21595.0,21739.0,21814.0,21658.0,21761.0,21875.0,21815.0,21906.0,21946.0,21850.0,21721.0,21774.0,21851.0,21874.0,21959.0,21934.0,21938.0,21920.0,21948.0,21905.0,21995.0,22013.0,22003.0,21900.0,22081.0,21915.0,22096.0,22009.0,22145.0,22061.0,22021.0,21995.0,22088.0,22133.0,22115.0,22056.0,22099.0,22148.0,22117.0,22119.0,22152.0,22091.0,22006.0
X8,21316.0,21510.0,21641.0,21658.0,21668.0,21604.0,21700.0,21689.0,21596.0,21720.0,21810.0,21662.0,21765.0,21871.0,21803.0,21897.0,21951.0,21843.0,21729.0,21778.0,21844.0,21872.0,21950.0,21908.0,21933.0,21922.0,21924.0,21903.0,21988.0,21984.0,22008.0,21900.0,22069.0,21911.0,22092.0,21999.0,22134.0,22045.0,22016.0,21993.0,22086.0,22123.0,22098.0,22053.0,22076.0,22149.0,22115.0,22113.0,22144.0,22094.0,22005.0
X9,21324.0,21518.0,21644.0,21665.0,21665.0,21600.0,21704.0,21688.0,21610.0,21743.0,21824.0,21681.0,21770.0,21896.0,21827.0,21911.0,21961.0,21848.0,21731.0,21783.0,21848.0,21876.0,21958.0,21932.0,21944.0,21934.0,21942.0,21912.0,21991.0,22006.0,21998.0,21905.0,22083.0,21925.0,22105.0,22015.0,22145.0,22036.0,22020.0,22000.0,22078.0,22130.0,22108.0,22047.0,22082.0,22154.0,22111.0,22115.0,22149.0,22094.0,22007.0
X10,21331.0,21531.0,21658.0,21676.0,21691.0,21625.0,21713.0,21706.0,21606.0,21743.0,21824.0,21681.0,21776.0,21893.0,21827.0,21924.0,21974.0,21867.0,21732.0,21792.0,21859.0,21883.0,21963.0,21947.0,21967.0,21938.0,21953.0,21926.0,21994.0,22011.0,22013.0,21909.0,22081.0,21915.0,22101.0,22028.0,22160.0,22039.0,22010.0,21992.0,22087.0,22130.0,22103.0,22052.0,22084.0,22148.0,22115.0,22119.0,22156.0,22082.0,21992.0
X11,21323.0,21524.0,21664.0,21683.0,21702.0,21636.0,21716.0,21703.0,21612.0,21754.0,21826.0,21682.0,21772.0,21891.0,21816.0,21932.0,21971.0,21865.0,21727.0,21788.0,21856.0,21878.0,21956.0,21946.0,21959.0,21936.0,21952.0,21923.0,22006.0,22019.0,22004.0,21907.0,22090.0,21922.0,22109.0,22015.0,22152.0,22048.0,22007.0,21992.0,22090.0,22137.0,22106.0,22067.0,22094.0,22148.0,22117.0,22112.0,22149.0,22082.0,21999.0
X12,21342.0,21547.0,21680.0,21691.0,21708.0,21645.0,21735.0,21731.0,21638.0,21762.0,21839.0,21694.0,21789.0,21907.0,21832.0,21945.0,21974.0,21871.0,21734.0,21786.0,21867.0,21876.0,21966.0,21955.0,21962.0,21941.0,21958.0,21920.0,22009.0,22024.0,22019.0,21912.0,22094.0,21936.0,22128.0,22022.0,22163.0,22067.0,22026.0,22003.0,22088.0,22145.0,22114.0,22071.0,22099.0,22162.0,22117.0,22114.0,22155.0,22093.0,22014.0
X13,21330.0,21537.0,21666.0,21683.0,21699.0,21634.0,21726.0,21723.0,21637.0,21769.0,21833.0,21693.0,21784.0,21895.0,21823.0,21935.0,21968.0,21866.0,21723.0,21789.0,21881.0,21881.0,21955.0,21940.0,21962.0,21939.0,21956.0,21917.0,22020.0,22032.0,22027.0,21920.0,22093.0,21933.0,22112.0,22027.0,22158.0,22057.0,22026.0,21996.0,22091.0,22131.0,22114.0,22050.0,22090.0,22160.0,22123.0,22118.0,22155.0,22088.0,22011.0
X14,21346.0,21533.0,21675.0,21687.0,21705.0,21634.0,21728.0,21719.0,21634.0,21766.0,21840.0,21692.0,21787.0,21897.0,21829.0,21934.0,21970.0,21863.0,21736.0,21790.0,21873.0,21893.0,21970.0,21954.0,21957.0,21944.0,21963.0,21928.0,22026.0,22032.0,22032.0,21930.0,22107.0,21943.0,22117.0,22031.0,22174.0,22076.0,22032.0,22013.0,22105.0,22150.0,22129.0,22065.0,22100.0,22171.0,22131.0,22131.0,22173.0,22112.0,22021.0
X15,21367.0,21555.0,21680.0,21693.0,21711.0,21653.0,21743.0,21724.0,21638.0,21766.0,21846.0,21710.0,21800.0,21901.0,21840.0,21947.0,21961.0,21881.0,21760.0,21808.0,21884.0,21900.0,21983.0,21968.0,21979.0,21969.0,21984.0,21965.0,22037.0,22049.0,22048.0,21933.0,22123.0,21957.0,22138.0,22044.0,22182.0,22090.0,22053.0,22031.0,22128.0,22172.0,22145.0,22091.0,22125.0,22188.0,22162.0,22156.0,22196.0,22140.0,22040.0
X16,21352.0,21550.0,21682.0,21678.0,21707.0,21655.0,21742.0,21719.0,21651.0,21772.0,21831.0,21708.0,21796.0,21907.0,21837.0,21940.0,21973.0,21862.0,21755.0,21801.0,21867.0,21898.0,21985.0,21965.0,21975.0,21965.0,21985.0,21953.0,22039.0,22051.0,22045.0,21946.0,22124.0,21957.0,22134.0,22037.0,22179.0,22090.0,22048.0,22026.0,22117.0,22163.0,22145.0,22089.0,22121.0,22177.0,22160.0,22148.0,22193.0,22138.0,22050.0
X17,21356.0,21545.0,21677.0,21688.0,21716.0,21656.0,21745.0,21718.0,21647.0,21778.0,21842.0,21712.0,21803.0,21913.0,21844.0,21963.0,21982.0,21879.0,21767.0,21797.0,21883.0,21905.0,21984.0,21968.0,21982.0,21964.0,21987.0,21961.0,22044.0,22047.0,22047.0,21944.0,22131.0,21969.0,22143.0,22049.0,22181.0,22097.0,22063.0,22040.0,22136.0,22178.0,22162.0,22095.0,22130.0,22195.0,22173.0,22158.0,22197.0,22143.0,22050.0
X18,21346.0,21544.0,21677.0,21689.0,21713.0,21652.0,21738.0,21720.0,21646.0,21777.0,21851.0,21717.0,21812.0,21923.0,21848.0,21944.0,21991.0,21888.0,21767.0,21804.0,21895.0,21904.0,21983.0,21975.0,21995.0,21973.0,21994.0,21954.0,22046.0,22055.0,22044.0,21939.0,22140.0,21966.0,22153.0,22060.0,22194.0,22097.0,22074.0,22040.0,22131.0,22184.0,22164.0,22115.0,22147.0,22206.0,22172.0,22175.0,22203.0,22145.0,22048.0
X19,21360.0,21563.0,21700.0,21711.0,21725.0,21657.0,21763.0,21750.0,21656.0,21785.0,21869.0,21728.0,21817.0,21935.0,21864.0,21959.0,22002.0,21904.0,21789.0,21835.0,21904.0,21918.0,21992.0,21990.0,21991.0,21986.0,22002.0,21978.0,22066.0,22069.0,22072.0,21960.0,22138.0,21982.0,22166.0,22076.0,22206.0,22119.0,22090.0,22058.0,22159.0,22188.0,22180.0,22133.0,22169.0,22231.0,22190.0,22178.0,22218.0,22163.0,22066.0
X20,21375.0,21582.0,21716.0,21719.0,21731.0,21684.0,21775.0,21771.0,21676.0,21798.0,21873.0,21722.0,21826.0,21955.0,21862.0,21980.0,22011.0,21912.0,21789.0,21842.0,21919.0,21939.0,22018.0,22003.0,22016.0,22010.0,22016.0,21992.0,22080.0,22088.0,22082.0,21974.0,22156.0,21989.0,22172.0,22083.0,22218.0,22129.0,22096.0,22075.0,22159.0,22197.0,22185.0,22140.0,22171.0,22236.0,22205.0,22201.0,22231.0,22179.0,22094.0
X21,21374.0,21572.0,21702.0,21702.0,21715.0,21645.0,21740.0,21733.0,21655.0,21800.0,21862.0,21734.0,21815.0,21932.0,21858.0,21958.0,21982.0,21888.0,21776.0,21826.0,21907.0,21923.0,21995.0,21984.0,22012.0,21985.0,21995.0,21978.0,22056.0,22076.0,22063.0,21957.0,22141.0,21984.0,22163.0,22077.0,22204.0,22111.0,22081.0,22055.0,22151.0,22177.0,22169.0,22124.0,22150.0,22212.0,22185.0,22185.0,22221.0,22150.0,22059.0
X22,21351.0,21554.0,21678.0,21679.0,21693.0,21622.0,21722.0,21718.0,21624.0,21775.0,21841.0,21709.0,21801.0,21912.0,21850.0,21937.0,21980.0,21883.0,21758.0,21810.0,21899.0,21911.0,21992.0,21977.0,21989.0,21968.0,21983.0,21956.0,22044.0,22056.0,22042.0,21936.0,22114.0,21963.0,22146.0,22051.0,22192.0,22097.0,22069.0,22038.0,22129.0,22167.0,22152.0,22107.0,22126.0,22198.0,22169.0,22176.0,22206.0,22146.0,22057.0
X23,21354.0,21556.0,21686.0,21693.0,21703.0,21640.0,21731.0,21720.0,21633.0,21774.0,21847.0,21727.0,21813.0,21916.0,21848.0,21954.0,22001.0,21880.0,21765.0,21814.0,21890.0,21913.0,21989.0,21969.0,21972.0,21964.0,21992.0,21959.0,22047.0,22065.0,22056.0,21946.0,22127.0,21969.0,22152.0,22064.0,22191.0,22103.0,22067.0,22045.0,22136.0,22167.0,22159.0,22111.0,22142.0,22198.0,22177.0,22178.0,22206.0,22151.0,22067.0
X24,21356.0,21562.0,21688.0,21703.0,21714.0,21650.0,21745.0,21723.0,21641.0,21795.0,21860.0,21732.0,21825.0,21932.0,21854.0,21966.0,22007.0,21889.0,21772.0,21821.0,21902.0,21917.0,21998.0,21983.0,21997.0,21985.0,22006.0,21971.0,22046.0,22071.0,22061.0,21955.0,22126.0,21974.0,22156.0,22063.0,22191.0,22108.0,22072.0,22045.0,22141.0,22163.0,22146.0,22108.0,22160.0,22204.0,22176.0,22199.0,22216.0,22156.0,22073.0
X25,21344.0,21543.0,21681.0,21696.0,21713.0,21643.0,21725.0,21725.0,21641.0,21777.0,21855.0,21730.0,21818.0,21932.0,21848.0,21943.0,21990.0,21882.0,21763.0,21800.0,21890.0,21922.0,21991.0,21973.0,21994.0,21974.0,21984.0,21956.0,22045.0,22053.0,22037.0,21959.0,22131.0,21958.0,22140.0,22053.0,22178.0,22099.0,22062.0,22050.0,22142.0,22173.0,22148.0,22094.0,22131.0,22194.0,22185.0,22179.0,22206.0,22138.0,22066.0
X26,21340.0,21534.0,21666.0,21683.0,21708.0,21644.0,21742.0,21726.0,21652.0,21768.0,21836.0,21703.0,21801.0,21904.0,21840.0,21937.0,21975.0,21868.0,21745.0,21807.0,21886.0,21911.0,21985.0,21967.0,21975.0,21956.0,21981.0,21942.0,22031.0,22042.0,22033.0,21921.0,22114.0,21944.0,22115.0,22033.0,22163.0,22079.0,22047.0,22024.0,22120.0,22163.0,22140.0,22070.0,22110.0,22182.0,22164.0,22160.0,22191.0,22128.0,22046.0
X27,21323.0,21521.0,21657.0,21668.0,21687.0,21630.0,21728.0,21706.0,21631.0,21753.0,21831.0,21690.0,21779.0,21899.0,21817.0,21910.0,21954.0,21845.0,21723.0,21784.0,21871.0,21895.0,21972.0,21940.0,21962.0,21933.0,21959.0,21915.0,22019.0,22031.0,22019.0,21909.0,22091.0,21939.0,22112.0,22025.0,22163.0,22064.0,22024.0,21999.0,22095.0,22147.0,22115.0,22065.0,22098.0,22169.0,22144.0,22140.0,22182.0,22108.0,22027.0
X28,21353.0,21534.0,21668.0,21666.0,21695.0,21638.0,21752.0,21719.0,21644.0,21771.0,21830.0,21706.0,21786.0,21900.0,21821.0,21921.0,21947.0,21849.0,21720.0,21780.0,21875.0,21888.0,21972.0,21949.0,21965.0,21940.0,21964.0,21919.0,22024.0,22026.0,22027.0,21921.0,22100.0,21947.0,22133.0,22042.0,22171.0,22062.0,22030.0,21997.0,22102.0,22150.0,22127.0,22079.0,22103.0,22163.0,22146.0,22159.0,22186.0,22106.0,22031.0
X29,21371.0,21566.0,21697.0,21711.0,21729.0,21679.0,21773.0,21765.0,21657.0,21786.0,21862.0,21723.0,21802.0,21926.0,21853.0,21954.0,21994.0,21886.0,21764.0,21823.0,21903.0,21904.0,21989.0,21974.0,21981.0,21970.0,21981.0,21954.0,22049.0,22068.0,22058.0,21955.0,22139.0,21971.0,22162.0,22062.0,22193.0,22088.0,22057.0,22037.0,22139.0,22158.0,22146.0,22100.0,22125.0,22192.0,22183.0,22185.0,22209.0,22141.0,22050.0
X30,21379.0,21586.0,21725.0,21729.0,21747.0,21689.0,21786.0,21777.0,21675.0,21803.0,21879.0,21751.0,21831.0,21942.0,21868.0,21978.0,22006.0,21901.0,21787.0,21837.0,21911.0,21932.0,22024.0,21998.0,22005.0,21987.0,22020.0,21984.0,22064.0,22081.0,22070.0,21965.0,22150.0,21989.0,22175.0,22079.0,22196.0,22101.0,22087.0,22066.0,22169.0,22205.0,22173.0,22128.0,22168.0,22235.0,22202.0,22198.0,22234.0,22169.0,22078.0
X31,21394.0,21587.0,21721.0,21728.0,21743.0,21691.0,21786.0,21781.0,21681.0,21814.0,21885.0,21757.0,21831.0,21942.0,21884.0,21980.0,22025.0,21903.0,21795.0,21835.0,21912.0,21928.0,22015.0,22001.0,22012.0,22001.0,22013.0,21985.0,22064.0,22077.0,22074.0,21964.0,22153.0,21979.0,22175.0,22090.0,22214.0,22112.0,22073.0,22066.0,22162.0,22203.0,22175.0,22126.0,22171.0,22233.0,22209.0,22212.0,22242.0,22183.0,22092.0
X32,21393.0,21587.0,21737.0,21742.0,21757.0,21703.0,21789.0,21784.0,21686.0,21816.0,21902.0,21760.0,21838.0,21960.0,21892.0,21975.0,22023.0,21909.0,21798.0,21841.0,21911.0,21933.0,22020.0,21997.0,22013.0,21994.0,22010.0,21980.0,22063.0,22087.0,22067.0,21974.0,22158.0,21981.0,22178.0,22089.0,22221.0,22106.0,22090.0,22060.0,22175.0,22218.0,22189.0,22114.0,22170.0,22234.0,22204.0,22212.0,22239.0,22170.0,22086.0
X33,21387.0,21580.0,21716.0,21719.0,21745.0,21678.0,21780.0,21780.0,21685.0,21807.0,21889.0,21746.0,21831.0,21940.0,21874.0,21969.0,22004.0,21899.0,21786.0,21831.0,21906.0,21925.0,22012.0,21993.0,21992.0,21986.0,22002.0,21971.0,22046.0,22064.0,22047.0,21963.0,22141.0,21973.0,22161.0,22080.0,22211.0,22110.0,22083.0,22060.0,22163.0,22203.0,22167.0,22111.0,22146.0,22229.0,22191.0,22202.0,22226.0,22154.0,22060.0
X34,21388.0,21583.0,21715.0,21726.0,21749.0,21674.0,21781.0,21783.0,21693.0,21825.0,21894.0,21746.0,21834.0,21935.0,21881.0,21981.0,22019.0,21901.0,21795.0,21837.0,21900.0,21932.0,22012.0,21989.0,21994.0,21983.0,22005.0,21973.0,22067.0,22073.0,22066.0,21970.0,22151.0,21997.0,22189.0,22088.0,22217.0,22111.0,22084.0,22068.0,22158.0,22201.0,22175.0,22128.0,22154.0,22242.0,22197.0,22210.0,22233.0,22171.0,22085.0
X35,21402.0,21588.0,21713.0,21718.0,21738.0,21674.0,21777.0,21775.0,21677.0,21821.0,21895.0,21754.0,21833.0,21945.0,21887.0,21986.0,22030.0,21912.0,21782.0,21835.0,21909.0,21931.0,22017.0,22000.0,21998.0,22000.0,22012.0,21981.0,22083.0,22078.0,22070.0,21967.0,22163.0,21995.0,22181.0,22080.0,22203.0,22107.0,22084.0,22067.0,22160.0,22195.0,22177.0,22116.0,22167.0,22237.0,22211.0,22222.0,22230.0,22163.0,22085.0
X36,21404.0,21581.0,21717.0,21724.0,21745.0,21691.0,21783.0,21768.0,21689.0,21822.0,21894.0,21772.0,21842.0,21958.0,21886.0,21989.0,22012.0,21908.0,21781.0,21834.0,21915.0,21932.0,22022.0,21999.0,22012.0,22011.0,22026.0,21991.0,22079.0,22081.0,22083.0,21982.0,22164.0,22007.0,22185.0,22097.0,22212.0,22126.0,22103.0,22071.0,22160.0,22213.0,22180.0,22122.0,22165.0,22227.0,22213.0,22210.0,22234.0,22171.0,22094.0
X37,21415.0,21582.0,21713.0,21718.0,21730.0,21687.0,21789.0,21775.0,21687.0,21825.0,21891.0,21754.0,21839.0,21946.0,21878.0,21978.0,22019.0,21897.0,21770.0,21830.0,21913.0,21933.0,22032.0,21996.0,22012.0,22003.0,22025.0,21986.0,22080.0,22082.0,22075.0,21987.0,22161.0,22015.0,22191.0,22102.0,22212.0,22147.0,22107.0,22075.0,22171.0,22203.0,22183.0,22123.0,22161.0,22230.0,22208.0,22224.0,22244.0,22181.0,22105.0
, 
Cm_STD,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 
half_Cm_STD,Distribution
,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50
X0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
